step	accuracy
0	0.5338749885559082
1	0.578499972820282
2	0.6131250262260437
3	0.6396250128746033
4	0.6601250171661377
5	0.6698750257492065
6	0.6761249899864197
7	0.6847500205039978
8	0.6848750114440918
9	0.7056249976158142
