step	loss
0	0.704623818397522
1	0.6733106970787048
2	0.6542462110519409
3	0.6329188346862793
4	0.6175037026405334
5	0.6061356067657471
6	0.6001797914505005
7	0.5901476144790649
8	0.5879841446876526
9	0.5703986883163452
